nSeq,I1,I2,O1,O2,A1,A2,A3,A4,A5,A6
1,0,0,0,0,530,481,0,0,0,0
2,0,0,0,0,536,477,0,0,0,0
3,0,0,0,0,536,471,0,0,0,0
4,0,0,0,0,524,475,0,0,0,0
5,0,0,0,0,529,475,0,0,0,0
6,0,0,0,0,553,471,0,0,0,0
7,0,0,0,0,583,472,0,0,0,0
8,0,0,0,0,612,487,0,0,0,0
9,0,0,0,0,678,485,0,0,0,0
10,0,0,0,0,749,495,0,0,0,0
11,0,0,0,0,809,503,0,0,0,0
12,0,0,0,0,859,524,0,0,0,0
13,0,0,0,0,913,524,0,0,0,0
14,0,0,0,0,946,535,0,0,0,0
15,0,0,0,0,944,543,1,0,0,0
0,0,0,0,0,938,553,0,0,0,0
1,0,0,0,0,926,549,0,0,0,0
2,0,0,0,0,895,558,0,0,0,0
3,0,0,0,0,836,560,1,0,0,0
4,0,0,0,0,791,561,0,0,0,0
5,0,0,0,0,743,551,0,0,0,0
6,0,0,0,0,688,549,0,0,0,0
7,0,0,0,0,627,547,1,0,0,0
8,0,0,0,0,584,542,0,0,0,0
9,0,0,0,0,564,531,0,0,0,0
10,0,0,0,0,544,528,0,0,0,0
11,0,0,0,0,518,531,0,0,0,0
12,0,0,0,0,511,530,0,0,0,0
13,0,0,0,0,516,521,0,0,0,0
14,0,0,0,0,518,520,0,0,0,0
15,0,0,0,0,509,519,0,0,0,0
0,0,0,0,0,515,527,0,0,0,0
1,0,0,0,0,530,515,0,0,0,0
2,0,0,0,0,541,518,0,0,0,0
3,0,0,0,0,549,517,0,0,0,0
4,0,0,0,0,547,532,0,0,0,0
5,0,0,0,0,563,524,0,0,0,0
6,0,0,0,0,580,524,0,0,0,0
7,0,0,0,0,588,519,0,0,0,0
8,0,0,0,0,585,527,0,0,0,0
9,0,0,0,0,597,512,0,0,0,0
10,0,0,0,0,600,523,0,0,0,0
11,0,0,0,0,584,523,0,0,0,0
12,0,0,0,0,579,524,0,0,0,0
13,0,0,0,0,577,513,0,0,0,0
14,0,0,0,0,567,515,0,0,0,0
15,0,0,0,0,540,518,0,0,0,0
0,0,0,0,0,539,514,0,0,0,0
1,0,0,0,0,535,508,0,0,0,0
2,0,0,0,0,517,519,0,0,0,0
3,0,0,0,0,506,517,0,0,0,0
4,0,0,0,0,513,515,0,0,0,0
